         473432 function calls (468070 primitive calls) in 1.621 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2684    0.002    0.000    0.014    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:763(handle_endtag)
      317    0.002    0.000    1.197    0.004 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpcore/_backends/sync.py:124(read)
     2685    0.002    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:558(popTag)
    13377    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.002    0.002    0.002    0.002 {built-in method _socket.getaddrinfo}
       90    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
      932    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:104(__init__)
     2685    0.001    0.000    0.006    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/parser.py:345(check_for_whole_start_tag)
     3350    0.001    0.000    0.008    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2303(search)
      595    0.001    0.000    0.009    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_connection.py:398(_extract_next_receive_event)
        2    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
     2187    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     1429    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:648(_linkage_fixer)
      187    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
       49    0.001    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:807(_create_slots_class)
      932    0.001    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:299(helper)
      430    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      277    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
     1714    0.001    0.000    0.006    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:2240(search_tag)
   118/18    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:37(_compile)
      931    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:141(__exit__)
     9133    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
 1239/352    0.001    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/trio/_util.py:206(fix_one)
        3    0.001    0.000    0.010    0.003 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/element.py:792(_find_all)
    65/18    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:512(_parse)
     1573    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      323    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
     2599    0.001    0.000    0.002    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:178(handle_data)
     3456    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:2482(<genexpr>)
      276    0.001    0.000    0.175    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpcore/_sync/http11.py:196(_receive_response_body)
     5476    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
      932    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/contextlib.py:132(__enter__)
     5800    0.001    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.12/3.12.8/Frameworks/Python.framework/Versions/3.12/lib/python3.12/html/__init__.py:122(unescape)
      276    0.001    0.000    0.186    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_models.py:884(iter_bytes)
      284    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_state.py:318(_fire_state_triggered_transitions)
     3846    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2700    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:523(string_container)
       63    0.001    0.000    0.009    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:374(_transform_attrs)
      276    0.001    0.000    0.178    0.001 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/httpx/_models.py:935(iter_raw)
      284    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/attr/_make.py:1129(_add_method_dunders)
     5348    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       26    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     2720    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/bs4/__init__.py:773(handle_data)
        9    0.001    0.000    0.187    0.021 {method 'join' of 'bytes' objects}
      592    0.001    0.000    0.001    0.000 /Users/mr_renskov/School_21/DS_Bootcamp.Day03-1/src/ex02/monroeju/lib/python3.12/site-packages/h11/_receivebuffer.py:77(maybe_extract_at_most)
      324    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:304(acquire)
